rmse,mae,r2,model,split
0.9428450628653492,0.7055765285610628,0.20003096341517324,linear,1
1.375944354158576,0.9965390806516256,-0.7037044438292828,poly_deg_2,1
1.0182757788888133,0.7633350452540325,0.0669104142623953,lgbm,1
0.9399299066255796,0.6735234788302125,0.20475401049356012,linear,2
1.410328579246717,0.988852658853772,-0.7904045157015696,poly_deg_2,2
1.0159646168662972,0.7430518108178092,0.0708887531701069,lgbm,2
0.9866671873700307,0.6991810751120019,0.18205935402547735,linear,3
1.234245616569966,0.9035616778010689,-0.2799223007561771,poly_deg_2,3
1.0486609363476698,0.7570778104997324,0.07604546826074254,lgbm,3
0.9602371342204343,0.6906091214301919,0.23884700122707192,linear,4
1.38837849522032,0.9674949404751425,-0.5912218189307898,poly_deg_2,4
1.0210617943854623,0.7436545130078848,0.1393649652964566,lgbm,4
1.005697479349867,0.7430791893219008,0.20115775647709344,linear,5
1.1709301924881446,0.8579007253475956,-0.08289988687634886,poly_deg_2,5
1.0533749600957447,0.7754159414997986,0.1236203581807167,lgbm,5
1.1472890010393388,0.8725716456529035,0.08699257601843835,linear,6
1.26425106324015,0.9619300534232929,-0.10865215092907343,poly_deg_2,6
1.1964554681906574,0.8964897374396915,0.007062925827406863,lgbm,6
1.2120486853125518,0.9415498390826494,0.0382664245502905,linear,7
1.3440953890162552,1.0273534521828063,-0.18270063756975907,poly_deg_2,7
1.2452927622019963,0.9498075852231146,-0.01521394904872464,lgbm,7
1.1844860555958259,0.948035947083116,-0.036729610945847924,linear,8
1.324491274448134,1.0081670329255292,-0.2962948673226098,poly_deg_2,8
1.171349708349755,0.9325131946210335,-0.013861766524562391,lgbm,8
