movie_title,title_year,genres,director_name,actor_1_name,actor_2_name,actor_3_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes,log_budget,log_gross,gross_to_budget_ratio,log_num_voted_users,log_num_critic_for_reviews,log_num_user_for_reviews,log_movie_facebook_likes,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Short,genre_Sport,genre_Thriller,genre_War,genre_Western,director_movie_count,director_avg_gross,actor1_movie_count,actor1_avg_gross,actor2_movie_count,actor2_avg_gross,actor3_movie_count,actor3_avg_gross,te_director_name,te_actor_1_name,te_actor_2_name,te_actor_3_name,te_language,te_country,te_content_rating,te_color,imdb_score
Total Recall ,1990,Action|Sci-Fi,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,196.0,113.0,719.0,217.0,605.0,119412921.0,240241,1441,0.0,391.0,65000000.0,308.0,1.85,0,17.989897843244528,18.598097977522542,1.8371218615384615,12.389402027630885,5.2832037287379885,5.971261839790462,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,119412921.0,2,119412921.0,2,119412921.0,3.0,89608614.0,7.150426035830769,7.150426035830769,7.150426035830769,6.850285218712824,6.867728531855955,6.888685524126457,6.858803986710968,6.800916030534352,7.5
Terminator 2: Judgment Day ,1991,Action|Sci-Fi,James Cameron,Joe Morton,Jenette Goldstein,S. Epatha Merkerson,210.0,153.0,0.0,539.0,780.0,204843350.0,744891,2829,0.0,983.0,102000000.0,604.0,2.35,13000,18.440483381052466,19.137756103534365,2.008268137254902,13.520994520410094,5.351858133476067,6.891625897052253,9.472781556562168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,105789552.2,1,204843350.0,1,204843350.0,1.0,204843350.0,7.425727636849132,7.53698412162419,7.53698412162419,7.53698412162419,6.867728531855955,6.888685524126457,6.858803986710968,6.800916030534352,8.5
True Lies ,1994,Action|Comedy|Thriller,James Cameron,Jamie Lee Curtis,Tia Carrere,Tom Arnold,94.0,141.0,0.0,618.0,2000.0,146282411.0,190439,4528,0.0,351.0,115000000.0,1000.0,2.35,0,18.560442695023177,18.80104964003486,1.2720209652173913,12.157092463308455,4.553876891600541,5.863631175598097,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,105789552.2,7,55006401.833333336,3,51997564.666666664,1.0,146282411.0,7.425727636849132,7.0768131966907895,6.670218817637815,7.015278079770377,6.867728531855955,6.888685524126457,6.858803986710968,6.800916030534352,7.2
Conan the Barbarian ,1982,Adventure|Fantasy,John Milius,William Smith,Mako,Sandahl Bergman,166.0,129.0,468.0,183.0,919.0,37567440.0,113065,2024,0.0,337.0,20000000.0,691.0,2.35,0,16.811242881518265,17.441648302374364,1.878372,11.635726997987977,5.117993812416755,5.823045895483019,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29907537.333333332,2,37567440.0,3,29654871.333333332,3.0,37567440.0,6.693630351207435,6.895091545917765,6.505157949985724,6.610196683946146,6.867728531855955,6.888685524126457,6.858803986710968,6.800916030534352,6.9
Last Action Hero ,1993,Action|Adventure|Comedy|Fantasy,John McTiernan,F. Murray Abraham,Tom Noonan,Joan Plowright,80.0,130.0,323.0,330.0,670.0,50016394.0,106528,2407,1.0,257.0,70000000.0,442.0,2.35,0,18.064005814299346,17.727861409644962,0.7145199142857143,11.576172527534057,4.394449154672439,5.552959584921617,0.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71723124.8,1,50016394.0,1,50016394.0,1.0,50016394.0,7.025727636849132,6.613965739882829,6.613965739882829,6.613965739882829,6.867728531855955,6.888685524126457,6.585141601407994,6.800916030534352,6.2
All That Jazz ,1979,Comedy|Drama|Music|Musical,Bob Fosse,Roy Scheider,Ben Vereen,Max Wright,84.0,123.0,189.0,87.0,813.0,54902392.04305284,19228,1476,0.0,146.0,16171090.758668516,388.0,1.85,0,15.746383619966235,16.936866710480018,9.49298634009733,9.864174835150587,4.442651256490317,4.990432586778736,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,54902392.04305284,6,181461188.0,1,54902392.04305284,1.0,54902392.04305284,7.107870287511935,7.193429283407445,7.256065483702907,7.256065483702907,6.867728531855955,6.888685524126457,6.858803986710968,6.800916030534352,7.8
Creepshow ,1982,Comedy|Fantasy|Horror,George A. Romero,Ted Danson,Hal Holbrook,Adrienne Barbeau,127.0,130.0,0.0,602.0,875.0,54902392.04305284,29932,2662,0.0,211.0,8000000.0,826.0,1.85,0,15.894952224644102,16.936866710480018,9.49298634009733,10.306716829702717,4.852030263919617,5.356586274672012,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,54902392.04305284,2,54902392.04305284,4,21378000.0,2.0,54902392.04305284,7.1409313646595525,6.895091545917765,6.8717631559028325,6.895091545917765,6.867728531855955,6.888685524126457,6.858803986710968,6.800916030534352,6.9
Batman Returns ,1992,Action,Tim Burton,Michael Gough,Vincent Schiavelli,Andrew Bryniarski,153.0,126.0,13000.0,390.0,920.0,162831698.0,215255,2899,0.0,610.0,80000000.0,811.0,1.85,0,18.197537205138154,18.90822770388114,2.035396225,12.27958329646595,5.0369526024136295,6.415096959171596,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,109919419.4,2,207010311.0,1,162831698.0,1.0,162831698.0,7.235727636849132,7.065314539193101,6.935015611792868,6.935015611792868,6.867728531855955,6.888685524126457,6.585141601407994,6.800916030534352,7.0
The Lion King ,1994,Adventure|Animation|Drama|Family|Musical,Roger Allers,Matthew Broderick,Nathan Lane,Niketa Calame,186.0,73.0,28.0,847.0,2000.0,422783777.0,644348,6458,0.0,656.0,45000000.0,886.0,1.66,17000,17.622173069956816,19.862371443201578,9.395195044444444,13.375995783763754,5.231108616854587,6.48768401848461,9.741027444837728,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,422783777.0,3,251175888.5,1,422783777.0,1.0,422783777.0,7.53698412162419,7.180406954017007,7.53698412162419,7.53698412162419,6.867728531855955,6.888685524126457,7.199629290807432,6.800916030534352,8.5
Hook ,1991,Adventure|Comedy|Family|Fantasy,Steven Spielberg,Robin Williams,Julia Roberts,Bob Hoskins,75.0,142.0,14000.0,5000.0,49000.0,119654900.0,182802,64259,1.0,363.0,70000000.0,8000.0,2.35,13000,18.064005814299346,18.600122332616422,1.7093557142857143,12.116164349246077,4.330733340286331,5.8971538676367405,9.472781556562168,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,210934792.3,5,155197521.0,2,110211478.0,1.0,119654900.0,7.454584494587687,7.135727636849133,6.767424300961262,6.814621909826604,6.867728531855955,6.888685524126457,6.725683063192974,6.800916030534352,6.7
