movie_title,title_year,genres,director_name,actor_1_name,actor_2_name,actor_3_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes,log_budget,log_gross,gross_to_budget_ratio,log_num_voted_users,log_num_critic_for_reviews,log_num_user_for_reviews,log_movie_facebook_likes,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Short,genre_Sport,genre_Thriller,genre_War,genre_Western,director_movie_count,director_avg_gross,actor1_movie_count,actor1_avg_gross,actor2_movie_count,actor2_avg_gross,actor3_movie_count,actor3_avg_gross,te_director_name,te_actor_1_name,te_actor_2_name,te_actor_3_name,te_language,te_country,te_content_rating,te_color,imdb_score
Waterworld ,1995,Action|Adventure|Sci-Fi|Thriller,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,91.0,176.0,58.0,60.0,711.0,88246220.0,144337,1004,0.0,309.0,175000000.0,60.0,1.85,0,18.980296537602072,18.295641431331067,0.5042641142857143,11.879913050357342,4.5217885770490405,5.736572297479192,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,84683763.33333333,1,88246220.0,1,88246220.0,2.0,45123110.0,6.658509618016542,6.528407324540162,6.528407324540162,6.574891671817661,6.795146726862303,6.8024096385542165,6.506924227166186,6.733374083129584,6.1
Total Recall ,1990,Action|Sci-Fi,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,196.0,113.0,719.0,217.0,605.0,119412921.0,240241,1441,0.0,391.0,65000000.0,308.0,1.85,0,17.989897843244528,18.598097977522542,1.8371218615384615,12.389402027630885,5.2832037287379885,5.971261839790462,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,86376267.66666667,2,119412921.0,2,119412921.0,3.0,89608614.0,6.688520684862378,7.106838525803087,7.106838525803087,6.8085649522457174,6.795146726862303,6.8024096385542165,6.787562189054726,6.733374083129584,7.5
Terminator 2: Judgment Day ,1991,Action|Sci-Fi,James Cameron,Joe Morton,Jenette Goldstein,S. Epatha Merkerson,210.0,153.0,0.0,539.0,780.0,204843350.0,744891,2829,0.0,983.0,102000000.0,604.0,2.35,13000,18.440483381052466,19.137756103534365,2.008268137254902,13.520994520410094,5.351858133476067,6.891625897052253,9.472781556562168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,105789552.2,1,204843350.0,1,204843350.0,1.0,204843350.0,7.387788671023964,7.491556940270278,7.491556940270278,7.491556940270278,6.795146726862303,6.8024096385542165,6.787562189054726,6.733374083129584,8.5
True Lies ,1994,Action|Comedy|Thriller,James Cameron,Jamie Lee Curtis,Tia Carrere,Tom Arnold,94.0,141.0,0.0,618.0,2000.0,146282411.0,190439,4528,0.0,351.0,115000000.0,1000.0,2.35,0,18.560442695023177,18.80104964003486,1.2720209652173913,12.157092463308455,4.553876891600541,5.863631175598097,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,105789552.2,7,55006401.833333336,3,51997564.666666664,1.0,146282411.0,7.387788671023964,7.0426555315075605,6.628498551170708,6.969850898416466,6.795146726862303,6.8024096385542165,6.787562189054726,6.733374083129584,7.2
Eraser ,1996,Action|Drama|Mystery|Thriller,Chuck Russell,Vanessa Williams,James Coburn,Roma Maffia,81.0,115.0,55.0,383.0,1000.0,101228120.0,84424,3454,1.0,131.0,100000000.0,773.0,2.35,0,18.420680753952364,18.432887151711466,1.0122812,11.343618845253769,4.406719247264253,4.882801922586371,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,88653350.0,2,54331423.0,3,82405181.66666667,2.0,92114060.0,6.688520684862378,6.489780175179993,6.358398949558195,6.489780175179993,6.795146726862303,6.8024096385542165,6.787562189054726,6.733374083129584,6.1
The Hunchback of Notre Dame ,1996,Animation|Drama|Family|Musical|Romance,Gary Trousdale,Demi Moore,Jason Alexander,Bill Fagerbakke,80.0,91.0,21.0,542.0,2000.0,100117603.0,102933,4842,0.0,230.0,100000000.0,700.0,1.78,0,18.420680753952364,18.42185609295903,1.00117603,11.541843285127612,4.394449154672439,5.442417710521793,0.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,100117603.0,4,108387227.25,1,100117603.0,1.0,100117603.0,6.849457196450201,6.451912170980609,6.849457196450201,6.849457196450201,6.795146726862303,6.8024096385542165,7.143709801365663,6.733374083129584,6.9
Batman Forever ,1995,Action|Adventure|Fantasy,Joel Schumacher,Michael Gough,Rene Auberjonois,Debi Mazar,144.0,121.0,541.0,680.0,920.0,184031112.0,190786,2880,4.0,539.0,100000000.0,710.0,1.85,0,18.420680753952364,19.030615393670058,1.84031112,12.158912901503177,4.976733742420574,6.29156913955832,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95713011.0,3,199350578.0,1,184031112.0,1.0,184031112.0,6.7377886710239645,6.748542818554047,6.247488686618879,6.247488686618879,6.795146726862303,6.8024096385542165,6.506924227166186,6.733374083129584,5.4
Cutthroat Island ,1995,Action|Adventure|Comedy,Renny Harlin,Christopher Masterson,Frank Langella,Matthew Modine,61.0,124.0,212.0,810.0,1000.0,11000000.0,21102,3611,3.0,169.0,98000000.0,903.0,2.35,1000,18.400478046838927,16.213405921671733,0.11224489795918367,9.957170489452313,4.127134385045092,5.135798437050262,6.90875477931522,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,45293766.85714286,1,11000000.0,1,11000000.0,1.0,11000000.0,6.5006763055852606,6.327751154596388,6.327751154596388,6.327751154596388,6.795146726862303,6.8024096385542165,6.506924227166186,6.733374083129584,5.6
Die Hard with a Vengeance ,1995,Action|Adventure|Thriller,John McTiernan,Bruce Willis,Aldis Hodge,Kevin Chamberlin,148.0,128.0,323.0,489.0,13000.0,100012500.0,299258,14274,1.0,346.0,90000000.0,559.0,2.35,0,18.31532023940565,18.420805746139266,1.11125,12.60906469815594,5.003946305945459,5.849324779946859,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,76438020.66666667,6,77365893.83333333,1,100012500.0,1.0,100012500.0,7.0348905429174,6.956143664795558,7.130375834371485,7.130375834371485,6.795146726862303,6.8024096385542165,6.787562189054726,6.733374083129584,7.6
Conan the Barbarian ,1982,Adventure|Fantasy,John Milius,William Smith,Mako,Sandahl Bergman,166.0,129.0,468.0,183.0,919.0,37567440.0,113065,2024,0.0,337.0,20000000.0,691.0,2.35,0,16.811242881518265,17.441648302374364,1.878372,11.635726997987977,5.117993812416755,5.823045895483019,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29907537.333333332,2,37567440.0,3,29654871.333333332,3.0,37567440.0,6.65379601630206,6.851504035890082,6.463437683518617,6.568476417479038,6.795146726862303,6.8024096385542165,6.787562189054726,6.733374083129584,6.9
