director_name,director_movie_count,director_avg_imdb_score,director_avg_gross
Ari Kirschenbaum,1,5.8,25918.0
Ari Sandel,1,6.5,34017854.0
Arie Posin,1,7.0,49526.0
Ariel Vromen,2,6.6,8103987.0
Arjun Sablok,1,3.3,100358.0
Arthur Hiller,1,3.5,15447.0
Asger Leth,1,6.6,18600911.0
Asghar Farhadi,1,8.4,7098492.0
Ash Baron-Cohen,1,6.4,47726636.51668302
Ash Brannon,1,6.8,58867694.0
Ashish R. Mohan,1,4.3,352684.0
Atom Egoyan,6,6.883333333333333,2626617.0
Audrey Wells,1,6.7,43601508.0
Ava DuVernay,2,7.0,26072015.0
Avi Nesher,1,5.5,47726636.51668302
Ayan Mukerji,1,6.9,3827466.0
Babak Najafi,1,5.9,62401264.0
Babar Ahmed,1,3.2,47726636.51668302
Baltasar Kormákur,3,6.766666666666667,61769955.0
Barbet Schroeder,3,6.033333333333334,26230720.0
Barbra Streisand,3,6.566666666666666,48813342.333333336
Barrett Esposito,1,6.7,47726636.51668302
Barry Cook,1,5.2,36073232.0
Barry Levinson,13,6.576923076923077,47977634.307692304
Barry Skolnick,1,6.5,92191.0
Barry Sonnenfeld,7,6.457142857142857,132310602.0
Barry W. Blaustein,1,7.6,2047570.0
Bart Freundlich,2,5.45,9116699.5
Baz Luhrmann,5,7.12,88580470.2
Becky Smith,1,6.3,47726636.51668302
Beeban Kidron,1,5.9,40203020.0
Ben Affleck,2,7.65,114096341.5
Ben Falcone,2,5.1,73776455.0
Ben Lewin,1,7.2,5997134.0
Ben Stassen,1,6.1,47726636.51668302
Ben Stiller,5,6.34,60560021.8
Ben Wheatley,2,6.4,17953.0
Ben Younger,1,7.0,16938179.0
Benedek Fliegauf,1,6.4,47726636.51668302
Benedikt Erlingsson,1,6.9,11835.0
Benh Zeitlin,1,7.3,12784397.0
Benjamin Dickinson,1,5.5,62480.0
Benjamin Roberds,1,6.3,47726636.51668302
Bennett Miller,2,7.5,52176531.0
Benni Diez,1,5.0,47726636.51668302
Benny Boom,1,5.9,10017041.0
Benson Lee,1,5.0,8888355.0
Bernardo Bertolucci,2,7.949999999999999,45855433.258341506
Beto Gómez,1,6.0,1391770.0
Betty Thomas,4,5.3,108477742.5
Bibo Bergeron,3,6.566666666666666,86430439.83889434
Bigas Luna,1,6.8,244465.0
Bill Benenson,1,7.4,47726636.51668302
Bill Condon,5,6.56,83099222.4
Bill Duke,1,6.1,10572742.0
Bill Melendez,1,8.4,47726636.51668302
Bill Muir,1,4.8,549632.0
Bill Paxton,2,7.4,14217558.5
Bill Plympton,1,7.0,203134.0
Bille August,2,6.75,24974315.25834151
Bille Woodruff,4,5.125,23393527.5
Billy Bob Thornton,2,6.9,20001270.5
Billy Kent,1,5.6,47726636.51668302
Billy Ray,2,6.7,24967305.75834151
Billy Wilder,4,7.9750000000000005,42044977.38751227
Blair Erickson,1,5.5,47726636.51668302
Blair Hayes,1,5.6,5002310.0
Blake Edwards,2,6.65,26363318.25834151
Blaz Zavrsnik,1,6.4,47726636.51668302
Bo Welch,1,3.8,100446895.0
